playerID,playerName,nationality,birthDate,height,weight,position
3823,Junior Hoilett,Canada,05/06/1990,173,,Midfielder
11033,Anwar El Ghazi,Netherlands,03/05/1995,188,90,Midfielder
11134,Jon Stankovic,Slovenia,14/01/1996,190,,Defender
10968,Ben Godfrey,England,15/01/1998,183,74,Defender
49495,Valentino Livramento,England,12/11/2002,,,Defender
7336,Vladimir Coufal,Czech Republic,22/08/1992,179,76,Defender
4878,Jairo Riedewald,Netherlands,09/09/1996,182,79,Midfielder
20517,Saïd Benrahma,Algeria,10/08/1995,172,67,Forward
10441,Jérémie Boga,Cote D’Ivoire,03/01/1997,172,,Forward
24334,Tyrick Mitchell,England,01/09/1999,,,Defender
49761,Sébastien Haller,Cote D’Ivoire,22/06/1994,190,,Forward
3506,Alan Hutton,Scotland,30/11/1984,185,,Defender
14441,Josh Benson,England,05/12/1999,175,,Midfielder
6252,Emiliano Sala,Argentina,31/10/1990,187,,Forward
54312,Miguel Almirón,Paraguay,10/02/1994,174,70,Midfielder
4816,Victor Wanyama,Kenya,25/06/1991,188,,Midfielder
51667,Billy Arce,Ecuador,12/07/1998,178,,Midfielder
51581,Maxwell Haygarth,England,21/01/2002,,,Midfielder
33124,Pascal Struijk,Netherlands,11/08/1999,190,,Defender
4527,Jordon Ibe,England,08/12/1995,176,,Midfielder
64037,John-Kymani Gordon,England,13/02/2003,,,Forward
4481,Olivier Giroud,France,30/09/1986,192,,Forward
51610,Romaine Mundle,England,24/04/2003,,,Midfielder
3242,Charlie Daniels,England,07/09/1986,178,,Defender
13278,Ademola Lookman,Nigeria,20/10/1997,174,71,Forward
12173,Florent Hadergjonaj,Kosovo,31/07/1994,182,,Defender
53151,Brandon Pierrick,England,10/12/2001,182,,Forward
4931,Saúl Ñíguez,Spain,21/11/1994,184,76,Midfielder
76262,Sebastian Soto,United States,28/07/2000,183,,Forward
63840,Gavin Bazunu,Ireland,20/02/2002,189,,Goalkeeper
26220,Robin Koch,Germany,17/07/1996,192,85,Defender
50975,Adrián Bernabé,Spain,26/05/2001,170,,Midfielder
12463,Jérémy Pied,France,23/02/1989,174,,Defender
24412,Tom Trybull,Germany,09/03/1993,181,,Midfielder
49264,Mazeed Ogungbo,Ireland,20/10/2002,,,Defender
24001,Kayne Ramsay,England,10/10/2000,,,Defender
23817,Luis Longstaff,England,24/02/2001,168,,Midfielder
3999,Stephen Ward,Ireland,20/08/1985,184,,Defender
19606,Floyd Ayité,Togo,15/12/1988,175,,Forward
4245,Emiliano Martínez,Argentina,02/09/1992,195,88,Goalkeeper
4772,Glenn Murray,England,25/09/1983,183,,Forward
2299,Glenn Whelan,Ireland,13/01/1984,180,,Midfielder
4696,Joel Robles,Spain,17/06/1990,195,,Goalkeeper
3672,Joe Bennett,England,28/03/1990,183,,Defender
15340,Taiwo Awoniyi,Nigeria,12/08/1997,183,,Forward
22542,Pascal Groß,Germany,15/06/1991,181,78,Midfielder
3567,Mark Bunn,England,16/11/1984,183,,Goalkeeper
68634,Jude Soonsup-Bell,England,10/01/2004,,,Forward
20708,Didier Ndong,Gabon,17/06/1994,179,,Midfielder
19589,Jan Bednarek,Poland,12/04/1996,189,77,Defender
32279,Jake Cain,England,02/09/2001,,,Midfielder
107830,Melkamu Frauendorf,Germany,12/01/2004,,,Midfielder
50467,Brennan Camp,Scotland,12/10/2000,,,Defender
13248,Hamza Choudhury,England,01/10/1997,178,64,Midfielder
66607,James Balagizi,England,20/09/2003,,,Midfielder
4430,Tom Carroll,England,28/05/1992,177,,Midfielder
9960,Alfie Mawson,England,19/01/1994,189,,Defender
6058,Nicolás Otamendi,Argentina,12/02/1988,183,,Defender
14592,Martell Taylor-Crossdale,England,26/12/1999,,,Forward
22952,Víctor Camarasa,Spain,28/05/1994,183,,Midfielder
21677,Collin Quaner,Germany,18/06/1991,191,,Forward
8966,Wes Morgan,Jamaica,21/01/1984,186,,Defender
12185,Kieran Tierney,Scotland,05/06/1997,178,70,Defender
14807,Lukas Nmecha,Germany,14/12/1998,185,,Forward
64281,Pablo Moreno,Spain,03/05/2002,174,,Forward
14636,Nathan Broadhead,Wales,05/04/1998,178,,Forward
7234,Vicente Iborra,Spain,16/01/1988,190,,Midfielder
16204,Willy Boly,Cote D’Ivoire,03/02/1991,195,92,Defender
24630,Richarlison,Brazil,10/05/1997,184,83,Forward
4823,Marko Arnautovic,Austria,19/04/1989,192,,Forward
15128,Luke Amos,England,23/02/1997,179,,Midfielder
12316,Naby Keïta,Guinea,10/02/1995,172,64,Midfielder
4779,Maarten Stekelenburg,Netherlands,22/09/1982,197,,Goalkeeper
19611,Elias Kachunga,DR Congo,22/04/1992,178,,Forward
52153,Moussa Djenepo,Mali,15/06/1998,177,65,Midfielder
4796,Mamadou Sakho,France,13/02/1990,187,,Defender
3982,Mohamed Diamé,Senegal,14/06/1987,184,,Midfielder
112203,Moisés Caicedo,Ecuador,02/11/2001,178,73,Midfielder
8245,Danny Ings,England,23/07/1992,178,73,Forward
66588,Jonathan Tomkinson,United States,11/04/2002,,,Defender
3799,Fabian Delph,England,21/11/1989,174,60,Midfielder
5179,Ruben Loftus-Cheek,England,23/01/1996,191,88,Midfielder
3138,Lee Peltier,England,11/12/1986,178,,Defender
9169,George Baldock,England,09/03/1993,178,,Defender
62919,Brad Young,England,06/01/2003,,,Midfielder
15154,Dara O'Shea,Ireland,04/03/1999,188,,Defender
23824,Louie Moulden,England,06/01/2002,,,Goalkeeper
14674,Dennis Adeniran,England,02/01/1999,180,,Midfielder
66647,Mads Bidstrup,Denmark,25/02/2001,175,,Midfielder
4766,Mile Jedinak,Australia,03/08/1984,189,,Midfielder
4209,Winston Reid,New Zealand,03/07/1988,190,,Defender
14444,Robbie Burton,Wales,26/12/1999,176,,Midfielder
26975,Miguel Azeez,England,20/09/2002,,,Midfielder
23520,Loïc Damour,France,08/01/1991,180,,Midfielder
8340,Tareiq Holmes-Dennis,England,31/10/1995,175,,Defender
24702,Daniel Langley,England,28/12/2000,,,Goalkeeper
75226,Cheikh Diaby,France,07/03/2000,,,Forward
10079,Nick Pope,England,19/04/1992,191,76,Goalkeeper
20701,Emmanuel Dennis,Nigeria,15/11/1997,175,67,Forward
66509,Flávio Cristóvão,Portugal,23/05/1997,185,,Defender
1526,Jermain Defoe,England,07/10/1982,171,,Forward
32923,Yerry Mina,Colombia,23/09/1994,195,94,Defender
3348,Ádám Bogdán,Hungary,27/09/1987,193,,Goalkeeper
3622,Liam Cooper,Scotland,30/08/1991,180,73,Defender
5806,Willian José,Brazil,23/11/1991,189,,Forward
14446,Joseph Willock,England,20/08/1999,179,71,Midfielder
8982,Anthony Knockaert,France,20/11/1991,172,,Midfielder
13559,Axel Tuanzebe,England,14/11/1997,186,,Defender
15481,Vincent Janssen,Netherlands,15/06/1994,180,,Forward
5866,Leander Dendoncker,Belgium,15/04/1995,188,83,Midfielder
14477,Dominic Revan,England,19/09/2000,,,Defender
5859,Luka Milivojevic,Serbia,07/04/1991,186,80,Midfielder
6389,Andriy Yarmolenko,Ukraine,23/10/1989,189,81,Forward
25429,Robbie Gotts,England,09/11/1999,,,Midfielder
3894,Tom Cairney,Scotland,20/01/1991,186,,Midfielder
25464,Arnau Puigmal,Spain,10/01/2001,173,,Midfielder
5154,Stefan Johansen,Norway,08/01/1991,182,,Midfielder
15146,Anthony Georgiou,Cyprus,24/02/1997,179,,Midfielder
4337,Jesse Lingard,England,15/12/1992,175,62,Midfielder
4786,Eldin Jakupovic,Switzerland,02/10/1984,191,85,Goalkeeper
9468,Charlie Austin,England,05/07/1989,188,,Forward
8456,James Maddison,England,23/11/1996,175,73,Midfielder
30533,Aaron Rowe,England,07/09/2000,,,Midfielder
2817,Luke Daniels,England,05/01/1988,185,,Goalkeeper
6820,Ondrej Duda,Slovakia,05/12/1994,181,,Midfielder
14676,Luca de la Torre,United States,23/05/1998,177,,Midfielder
47181,Samir,Brazil,05/12/1994,189,73,Defender
20499,Malang Sarr,France,23/01/1999,182,73,Defender
3581,Chris Basham,England,20/07/1988,190,,Defender
13648,Martin Samuelsen,Norway,17/04/1997,189,,Midfielder
12639,Manolo Gabbiadini,Italy,26/11/1991,181,,Forward
16790,Davy Pröpper,Netherlands,02/09/1991,185,,Midfielder
9762,Daniel Bachmann,Austria,09/07/1994,191,81,Goalkeeper
14658,Tayo Edun,England,14/05/1998,170,,Midfielder
31936,Iliman Ndiaye,France,06/03/2000,180,,Midfielder
20503,Maxime Le Marchand,France,11/10/1989,185,,Defender
66522,Chituru Odunze,United States,14/10/2002,200,,Goalkeeper
3390,Dan Gosling,England,01/02/1990,183,79,Midfielder
69653,Charlie Whitaker,England,16/09/2003,,,Midfielder
20079,Taylor Perry,England,15/07/2001,,,Midfielder
13903,Bright Enobakhare,Nigeria,08/02/1998,178,,Forward
22591,Abdelhamid Sabiri,Germany,28/11/1996,186,,Midfielder
9199,Adam Armstrong,England,10/02/1997,172,69,Forward
3222,Phil Jagielka,England,17/08/1982,180,,Defender
10487,Ayoze Pérez,Spain,29/07/1993,178,72,Forward
14567,Bradley Collins,England,18/02/1997,184,,Goalkeeper
9929,Jonathan Bond,England,19/05/1993,196,,Goalkeeper
5595,Jordan Ayew,Ghana,11/09/1991,182,80,Forward
15322,Shani Tarashaj,Switzerland,07/02/1995,176,,Forward
10798,Yanic-Sonny Wildschut,Suriname,01/11/1991,187,,Forward
10449,Jonjoe Kenny,England,15/03/1997,176,67,Defender
72371,João Pedro,Brazil,26/09/2001,182,70,Forward
23873,Oludare Olufunwa,England,29/07/2001,,,Defender
22866,Juraj Kucka,Slovakia,26/02/1987,186,86,Midfielder
10905,Che Adams,Scotland,13/07/1996,175,70,Forward
4394,John Egan,Ireland,20/10/1992,185,,Defender
19951,Lewis Cass,England,27/02/2000,,,Defender
4231,Ethan Ebanks-Landell,England,16/12/1992,188,,Defender
10467,Angeliño,Spain,04/01/1997,175,,Defender
43098,Ferran Torres,Spain,29/02/2000,184,,Forward
66557,Jakub Ojrzynski,Poland,19/02/2003,,,Goalkeeper
2047,Jonathan Walters,Ireland,20/09/1983,183,,Forward
13340,Luke Dreher,England,27/11/1998,184,,Midfielder
