stadiumName,recordLeagueAttendance,capacity,addressArea,city,zipCode,lengthMeter,WidthMeter,buildingDate
Emirates Stadium,60161,60260," Highbury House,  75 Drayton Park", London, N5 1BU,105,68,2006
Villa Park,,42682," Villa Park,  Trinity Road", Birmingham, B6 6HE,105,68,
Oakwell,,23009," Oakwell,  Grove Street", Barnsley, S71 1ET,100,68,
St. Andrew's Trillion Trophy Stadium,,29409, St. Andrew's Stadium, Birmingham, B9 4RL,105,68,
Ewood Park,,31367," Ewood Park,  Blackburn", Lancashire, BB2 4JF,105,68,
Bloomfield Road,,17338, Seasiders Way, Blackpool, FY1 6JJ,102,68,
University of Bolton Stadium,,28723," Burnden Way,  Horwich", Bolton, BL6 6JW,105,68,
Vitality Stadium,11459,," Vitality Stadium,  Dean Court", Bournemouth, BH7 7AF,105,68,1910
Valley Parade,,25136, Bradford, West Yorkshire, BD8 7DY,103,64,
Brentford Community Stadium,,17250," Brentford Community Stadium,  Lionel Road South", Brentford, TW8 0RU,105,68,2020
Amex Stadium,30565,30666," American Express Community Stadium,  Village Way", Brighton, BN1 9BL,105,68,2011
Turf Moor,21870,21944," Turf Moor,  Harry Potts Way,  Burnley", Lancashire, BB10 4BX,105,68,1883
Cardiff City Stadium,32321,," Cardiff City Stadium,  Leckwith Road", Cardiff, CF11 8AZ,105,68,2009
The Valley,,27111, Floyd Road, Charlton, SE7 8BL,102,67,
Stamford Bridge,42332,40853," Stamford Bridge,  Fulham Road", London, SW6 1HS,103,67.5,1877
Highfield Road,,32609," Phoenix Way,  Foleshill,  Coventry", West Midlands, CV6 6GE,105,68,
Selhurst Park,30115,25486," Selhurst Park Stadium,  Holmesdale Road", London, SE25 6PU,101,68,1924
Pride Park Stadium,,33597," Pride Park Stadium,  Pride Park", Derby, DE24 8XL,105,68,
Goodison Park,40552,39221," Goodison Park,  Goodison Road", Liverpool, L4 4EL,100.48,68,1892
Craven Cottage,,19000, Stevenage Road, London, SW6 6HH,100,65,
John Smith's Stadium,24426,," The John Smith's Stadium,  Stadium Way", Huddersfield, HD1 6PX,106,68,1994
KCOM Stadium,,," The KCOM Stadium,  West Park", Hull, HU3 6HU,105,68,2002
Portman Road,,30311," Portman Road,  Ipswich", Suffolk, IP1 2DA,102,64,
Elland Road,,37890, Elland Road, Leeds, LS11 0ES,106,69,
King Power Stadium,32242,32273," King Power Stadium,  Filbert Way", Leicester, LE2 7FL,105,68,2002
Anfield,53292,53394," Anfield,  Anfield Road", Liverpool, L4 0TH,101,68,1884
Etihad Stadium,54693,55017," Etihad Stadium,  Etihad Campus", Manchester, M11 3FF,105,68,2002
Old Trafford,76098,74879," Sir Matt Busby Way,  Old Trafford", Manchester, M16 0RA,105,68,1909
Riverside Stadium,,33746, Riverside Stadium, Middlesbrough, TS3 6RS,105,68,1995
St. James' Park,52490,52305," St. James' Park,  Strawberry Place", Newcastle Upon Tyne, NE1 4ST,105,68,1892
Carrow Road,,27359, Carrow Road, Norwich, NR1 1JE,104,68,
City Ground,,30445, City Ground, Nottingham, NG2 5FJ,105,71,
Boundary Park,,13512," Furtherwood Rd,  Oldham", Greater Manchester, OL1 2PAA,101,68,
Fratton Park,,21178," Fratton Park,  Frogmore Road", Portsmouth, PO4 8RA,105,67,
Loftus Road,,18439," Loftus Road Stadium,  South Africa Road", London, W12 7PJ,102,66,
Madejski Stadium,,24161, Bennett Road, Reading, RG2 0FL,102,70,
Bramall Lane,,32050," Bramall Lane,  Sheffield", South Yorkshire, S2 4SU,102,66,
Hillsborough,,39732," Leppings Ln,  Sheffield", South Yorkshire, S6 1SW,105,68,
St. Mary's Stadium,32151,32384," St Mary's Stadium,  Britannia Road", Southampton, SO14 5FP,105,68,2001
bet365 Stadium,29661,," bet365 Stadium,  Stanley Matthews Way", Stoke-on-Trent, ST4 4EG,105,68,1997
Stadium of Light,,, Stadium of Light, Sunderland, SR5 1SU,105,68,1997
Liberty Stadium,20972,," Liberty Stadium,  Landore", Swansea, SA1 2FA,105,68,2005
Tottenham Hotspur Stadium,,," Lilywhite House,  782 High Road,  Tottenham", London, N17 0BX,100,67,2019
Vicarage Road,21590,21000," Vicarage Road Stadium,  Watford", Hertfordshire, WD18 0ER,105,68,1922
The Hawthorns,27751,," The Hawthorns,  West Bromwich", West Midlands, B71 4LF,105,68,1900
London Stadium,59946,60000," London Stadium,  Queen Elizabeth Olympic Park", London, E20 2ST,105,68,2011
DW Stadium,,25133," Loire Drive,  Robin Park,  Wigan", Greater Manchester, WN5 0UH,105,68,
Molineux Stadium,31322,32050," Molineux Stadium,  Waterloo Rd", Wolverhampton, WV1 4QR,105,68,1889
Wembley Stadium,83222,90000,Wembley,London,HA9 0FA,105,68,2007
The Breyer Group Stadium,34345,9271,Brisbane Rd,London,E10 5NF,105,73,1937
Poznan Stadium,42000,42837,"Bułgarska 17",Poznan,60-320,105,70,1980
